City,Country,Cluster,Pop (k),Warm-season T2M (°C),Hot days,Heat deaths/yr (2020),Heat deaths / 100k
Sevilla,Spain,Hot,1540,27.5,92,745,48.4
Athens,Greece,Hot,3150,26.8,85,1331,42.3
Palermo,Italy,Hot,850,26,78,363,42.7
Madrid,Spain,Hot,6640,25.2,72,2641,39.8
Naples,Italy,Hot,3080,25,70,1097,35.6
Thessaloniki,Greece,Hot,1010,24.8,68,351,34.8
Barcelona,Spain,Hot,4800,24,58,1727,36
Lisbon,Portugal,Hot,2960,23.5,55,1043,35.2
Marseille,France,Hot,1600,23.3,52,515,32.2
Rome,Italy,Hot,2800,23.2,65,662,23.7
Bologna,Italy,Hot,1000,23,52,282,28.2
Milan,Italy,Temperate,1370,22.7,48,451,32.9
Bucharest,Romania,Temperate,2160,22.5,48,672,31.1
Varna,Bulgaria,Temperate,380,22,42,111,29.2
Budapest,Hungary,Temperate,1750,21.8,40,481,27.5
Sofia,Bulgaria,Temperate,1280,21.5,40,301,23.5
Zagreb,Croatia,Temperate,810,21.5,38,233,28.7
Lyon,France,Temperate,1650,21,35,438,26.6
Bratislava,Slovakia,Temperate,660,20.8,34,163,24.7
Ljubljana,Slovenia,Temperate,290,20.5,32,75,25.7
Porto,Portugal,Temperate,1720,20.5,30,406,23.6
Vienna,Austria,Temperate,1930,20.5,33,431,22.3
Paris,France,Temperate,11000,19.8,27,2723,24.8
Warsaw,Poland,Temperate,3100,19.8,28,572,18.4
Berlin,Germany,Temperate,3600,19.5,26,514,14.3
Nantes,France,Temperate,950,19.5,24,167,17.6
Prague,Czechia,Temperate,1320,19.5,26,250,18.9
Cologne,Germany,Cool,1080,18.8,22,194,18
Munich,Germany,Cool,1560,18.5,20,253,16.2
Brussels,Belgium,Cool,2080,17.5,14,272,13.1
Hamburg,Germany,Cool,1840,17.5,14,220,12
Vilnius,Lithuania,Cool,580,17.5,15,86,14.8
Rotterdam,Netherlands,Cool,1180,17.3,13,179,15.2
Amsterdam,Netherlands,Cool,1150,17.2,12,165,14.4
Riga,Latvia,Cool,640,17.2,13,102,15.9
Copenhagen,Denmark,Cool,1340,17,11,205,15.3
Stockholm,Sweden,Cool,1660,17,12,232,14
Helsinki,Finland,Cool,1300,16.2,8,187,14.4
Tallinn,Estonia,Cool,440,16,8,36,8.2
Dublin,Ireland,Cool,1420,15.2,4,131,9.3
