city,country,retrofit_rate_raw,retrofit_rate_per_year
amsterdam,NL,0.0092,0.0092
athens,GR,0.0093,0.0093
barcelona,ES,0.0121,0.0121
berlin,DE,0.0089,0.0089
bologna,IT,0.0138,0.0138
bratislava,SK,0.0099,0.0099
brussels,BE,0.0138,0.0138
bucharest,RO,0.0187,0.0187
budapest,HU,0.008,0.008
cologne,DE,0.0089,0.0089
copenhagen,DK,0.0065,0.0065
dublin,IE,0.0075,0.0075
hamburg,DE,0.0089,0.0089
helsinki,FI,0.0048,0.0048
lisbon,PT,0.0139,0.0139
ljubljana,SI,0.0104,0.0104
lyon,FR,0.0109,0.0109
madrid,ES,0.0121,0.0121
marseille,FR,0.0109,0.0109
milan,IT,0.0138,0.0138
munich,DE,0.0089,0.0089
nantes,FR,0.0109,0.0109
naples,IT,0.0138,0.0138
palermo,IT,0.0138,0.0138
paris,FR,0.0109,0.0109
porto,PT,0.0139,0.0139
prague,CZ,0.0146,0.0146
riga,LV,0.0081,0.0081
rome,IT,0.0138,0.0138
rotterdam,NL,0.0092,0.0092
sevilla,ES,0.0121,0.0121
sofia,BG,0.0185,0.0185
stockholm,SE,0.0087,0.0087
tallinn,EE,0.0085,0.0085
thessaloniki,GR,0.0093,0.0093
varna,BG,0.0185,0.0185
vienna,AT,0.0129,0.0129
vilnius,LT,0.0079,0.0079
warsaw,PL,0.0148,0.0148
zagreb,HR,0.0171,0.0171
